1658	Sw	0.2571	0.4561	-0.1381	0.0542	0.0762	-0.0878
1659	S	0.1705	0.3187	-0.0672	-0.0478	0.0499	-0.0236
1660	S	0.1826	0.2053	-0.0049	0.0049	0.0259	0.0384
1662	Sr	0.1893	0.4601	0.0119	0.0828	-0.009	0.069
1667	Sw	0.3132	0.2378	-0.0483	0.2284	0.0177	0.0248
1685	Sq	0.1566	-0.159	0.0649	0.1443	0.0098	0.0052
1747	Sw	0.3329	0.636	-0.1425	-0.0018	0.0136	0.0093
1751	S	0.1199	0.2888	-0.1041	0.0006	-0.0934	-0.0051
1807	Sqw	0.3346	-0.2165	0.1337	0.0748	0.0272	-0.0146
1839	S	0.0537	0.1437	0.0062	0.0319	-0.1102	-0.015
1848	S	0.1483	0.2185	-0.0475	0.0703	-0.1091	0.0778
1858	S	0.1597	0.5385	-0.2445	0.0001	0.0106	0.0485
1862	Q	0.1277	-0.597	0.2046	0.196	-0.0821	0.0346
1864	Sq	0.0482	-0.248	0.0917	0.1703	-0.08	0.0282
1865	S	0.117	-0.022	0.0635	0.0545	0.0087	0.034
1866	Sw	0.3499	0.0466	0.0019	0.0701	-0.0077	0.0562
1903	K	0.128	-0.0379	-0.1621	-0.0064	-0.0419	-0.0165
1916	Sw	0.3921	-0.0195	0.0595	0.0942	0.0139	-0.0005
1917	Sv	0.0577	0.6732	-0.0137	0.024	-0.0459	0.0105
1943	Sw	0.2771	0.1559	-0.0722	0.075	0.0508	0.0092
1951	A	1.1624	-0.8971	0.0515	0.6432	-0.067	-0.0197
1980	Sw	0.4095	-0.0169	0.0585	0.1891	0.0222	0.0402
2042	Sr	0.0821	0.1791	0.0775	-0.0107	-0.0012	0.0071
2045	V	0.1851	0.6885	0.8456	-0.097	0.0761	-0.0638
2063	Sq	0.0697	-0.3123	0.0656	0.1398	-0.0667	0.0271
2064	Sqw	0.2553	-0.1854	0.0216	0.1789	0.0026	0.0112
2074	Sw	0.4638	0.0669	0.0595	0.1729	0.0273	-0.0475
2078	S	0.0845	-0.0051	0.0693	-0.0204	-0.0086	0.0361
2085	L	0.0486	0.4299	-0.3477	-0.0192	-0.0481	-0.0089
2099	Ch	0.1186	-0.5911	0.021	-0.1843	0.0136	0.0094
2100	B	-0.0796	-0.2692	-0.0861	-0.1476	-0.0961	-0.0367
2102	Sr	0.0849	-0.2038	0.2673	0.0416	0.0387	0.1183
2107	Sw	0.2562	0.0184	-0.0423	0.0882	-0.0768	0.0257
2157	S	0.1956	0.1735	-0.0551	0.0703	0.0004	0.0304
2201	Sq	-0.0075	-0.3925	0.1167	0.0432	-0.0134	0.0069
2212	Q	0.0376	-1.0195	0.3726	0.039	0.033	0.1289
2246	D	0.5513	0.1839	-0.1837	-0.1384	0.1231	0.0145
2335	Sw	0.2732	0.2028	-0.016	0.058	-0.1292	0.0547
2340	Sq	0.0639	-0.4072	0.1269	0.0844	-0.0032	-0.0984
2353	S	0.0973	0.3531	-0.0645	-0.0262	0.0142	0.0348
2354	L	0.0837	0.6296	-0.3425	0.0702	-0.0505	0.0101
2378	Cgh	0.0569	-0.5432	0.0057	-0.1691	-0.0039	0.0271
2386	S	0.1834	0.2505	-0.0405	0.0404	0.0118	0.0197
2396	S	0.1924	0.2626	-0.1057	0.1723	-0.0339	0.0244
2401	S	0.1814	0.2459	0.0317	-0.0265	-0.0356	-0.0323
2442	V	0.1623	0.8617	0.9795	-0.2123	-0.0087	-0.0171
2448	L	0.3543	0.4205	-0.3038	-0.0663	0.0792	0.0441
2501	A	0.796	-0.508	0.0406	0.6701	0.132	-0.1059
2504	Sr	0.1137	0.09	0.0974	-0.0295	0.0583	0.0291
2521	S	0.0806	0.0787	-0.0058	0.0273	-0.0292	-0.0024
2566	V	0.0455	0.7063	0.8562	-0.1113	0.0523	-0.0587
2579	V	0.0893	0.3402	0.8663	0.2122	0.0075	-0.1491
2715	Sw	0.3252	0.2712	-0.1399	0.2184	-0.0447	0.0029
2732	L	0.2174	0.6386	-0.3104	0.1705	-0.1547	0.0469
2851	V	0.1587	0.6494	0.9658	-0.1883	-0.2195	0.08
2873	Sq	0.133	-0.1689	0.1106	0.1479	0.0671	-0.0313
2875	S	0.1343	0.2738	-0.0754	0.0653	-0.0457	0.0198
2911	Sw	0.2749	0.1927	0.004	0.0888	0.0364	0.0183
2912	V	0.1992	0.5956	1.1125	-0.2085	-0.0379	0.0304
2957	K	0.1485	-0.001	-0.1487	-0.0381	-0.0107	-0.0194
2965	Sv	0.1992	0.6393	0.0312	-0.0298	0.1016	0.0132
2977	S	0.1734	0.2501	-0.0564	0.0347	-0.0047	0.0224
3028	K	0.0118	-0.1685	-0.1268	-0.0653	-0.106	-0.0112
3102	Sqw	0.2562	-0.2474	0.0963	0.185	-0.0448	-0.0047
3122	Sqw	0.3714	-0.3537	0.1938	0.2137	0.0592	-0.0079
3155	V	0.0568	1.1058	0.8458	-0.3893	-0.116	0.1086
3198	Sqw	0.3318	-0.1528	0.0439	0.2196	0.158	-0.0933
3199	K	0.1719	-0.5722	0.0123	0.1806	0.0653	-0.002
3200	B	-0.1554	-1.062	0.1712	-0.2035	-0.1171	-0.0002
3248	D	0.5076	0.2597	-0.2437	-0.1525	0.0555	0.0317
3255	S	0.102	0.1701	0.0557	0.0167	0.0126	0.0452
3288	Sqw	0.3243	-0.1279	0.0256	0.1575	0.0562	-0.0391
3317	D	0.5561	0.0122	-0.1782	-0.1425	0.1372	-0.0006
3352	Sw	0.2652	0.2969	-0.0225	0.1579	-0.1417	-0.0151
3361	Q	0.0725	-1.1449	0.4426	0.0842	-0.1081	0.1439
3363	Sr	0.1806	-0.1279	0.1608	0.0021	0.0241	0.0404
3395	S	0.1678	0.1322	0.07	0.044	0.049	0.083
3402	S	0.2417	0.2404	-0.0659	0.0918	-0.0128	-0.0682
